Epoch 324 : (Loss: 0.7466087775544942, Correctness: 0.6351791530944625) 
Epoch 325 : (Loss: 0.692196000555336, Correctness: 0.6172638436482085) 
Epoch 326 : (Loss: 0.746592379271938, Correctness: 0.6351791530944625) 
Epoch 327 : (Loss: 0.6921825726060123, Correctness: 0.6172638436482085) 
Epoch 328 : (Loss: 0.7465760464512412, Correctness: 0.6351791530944625) 
Epoch 329 : (Loss: 0.6921691977979896, Correctness: 0.6172638436482085) 
Epoch 330 : (Loss: 0.7465597779920227, Correctness: 0.6351791530944625) 
Epoch 331 : (Loss: 0.6921558752426408, Correctness: 0.6172638436482085) 
Epoch 332 : (Loss: 0.7465435728234876, Correctness: 0.6351791530944625) 
Epoch 333 : (Loss: 0.6921426040751916, Correctness: 0.6172638436482085) 
Epoch 334 : (Loss: 0.7465274299035062, Correctness: 0.6351791530944625) 
Epoch 335 : (Loss: 0.6921293834539843, Correctness: 0.6172638436482085) 
Epoch 336 : (Loss: 0.7465113482177304, Correctness: 0.6351791530944625) 
Epoch 337 : (Loss: 0.6921162125597582, Correctness: 0.6188925081433225) 
Epoch 338 : (Loss: 0.7464953267787312, Correctness: 0.6351791530944625) 
Epoch 339 : (Loss: 0.6921030905949668, Correctness: 0.6188925081433225) 
Epoch 340 : (Loss: 0.7464793646251793, Correctness: 0.6351791530944625) 
Epoch 341 : (Loss: 0.6920900167831083, Correctness: 0.6188925081433225) 
Epoch 342 : (Loss: 0.7464634608210536, Correctness: 0.6351791530944625) 
Epoch 343 : (Loss: 0.692076990368086, Correctness: 0.6188925081433225) 
Epoch 344 : (Loss: 0.7464476144548624, Correctness: 0.6351791530944625) 
Epoch 345 : (Loss: 0.6920640106135976, Correctness: 0.6188925081433225) 
Epoch 346 : (Loss: 0.7464318246389124, Correctness: 0.6351791530944625) 
Epoch 347 : (Loss: 0.6920510768025268, Correctness: 0.6188925081433225) 
Epoch 348 : (Loss: 0.7464160905085911, Correctness: 0.6351791530944625) 
Epoch 349 : (Loss: 0.6920381882363785, Correctness: 0.6188925081433225) 
Epoch 350 : (Loss: 0.7464004112216733, Correctness: 0.6351791530944625) 
Epoch 351 : (Loss: 0.6920253442347152, Correctness: 0.6172638436482085) 
